anl_id,anl_machine,anl_file_md5,anl_file_name,name,anl_score,anl_duration,anl_network_udp,anl_network_tcp,anl_network_dns,anl_signatures_sv1,anl_signatures_sv2,anl_signatures_sv3,anl_signatures_sv4,anl_signatures_sv5,anl_signatures_sv6,anl_file_created,anl_regkey_written,anl_dll_loaded,anl_file_failed,anl_regkey_opened,anl_resolves_host,anl_file_written,anl_fetches_url,anl_regkey_read
198,cuckoo-w7-opened,8cd1fc9a12c77d347f75df7928ce2439,virus_win32_sality_au-83-win32_exe-utorrent.exe-8cd1fc9a12c77d347f75df7928ce2439.exe,sality,10.6,198,17,0,2,5,5,9,0,1,1,2,31,28,2,13,0,2,6,9
147,cuckoo-w7-01,8de7eb1acf3c6f42de78879c00200502,trojan_win32_skeeyah_a_rfn-68-win32_exe-pierit.exe-8de7eb1acf3c6f42de78879c00200502.exe,msilperseus,18.6,135,22,13,11,4,15,16,0,1,1,8,12,95,29,242,4,6,3,474
301,cuckoo-w7-maldome-opened,8de7eb1acf3c6f42de78879c00200502,trojan_win32_skeeyah_a_rfn-68-win32_exe-pierit.exe-8de7eb1acf3c6f42de78879c00200502.exe,msilperseus,17.4,134,20,4,5,5,13,15,0,1,1,8,13,90,17,191,4,6,3,462
117,cuckoo-w7-vmcloak,8de7eb1acf3c6f42de78879c00200502,trojan_win32_skeeyah_a_rfn-68-win32_exe-pierit.exe-8de7eb1acf3c6f42de78879c00200502.exe,msilperseus,6,20,14,1,5,3,6,3,0,0,1,1,0,49,12,79,0,1,0,196
271,cuckoo-w7-opened,8de7eb1acf3c6f42de78879c00200502,trojan_win32_skeeyah_a_rfn-68-win32_exe-pierit.exe-8de7eb1acf3c6f42de78879c00200502.exe,msilperseus,6,21,13,0,2,3,6,3,0,0,1,1,0,48,7,73,0,1,0,193
37,cuckoo-w7-01,8e0e311cd9a5cd9a2bf29a4be214a936,virus_win32_ursnif_f-73-win32_exe-undefined-8e0e311cd9a5cd9a2bf29a4be214a936.exe,doboc,12,137,28,11,9,2,13,6,0,0,1,9,19,62,2,373,0,8,2,2413
191,cuckoo-w7-maldome-opened,8e0e311cd9a5cd9a2bf29a4be214a936,virus_win32_ursnif_f-73-win32_exe-undefined-8e0e311cd9a5cd9a2bf29a4be214a936.exe,doboc,9.4,131,14,1,2,2,12,5,0,0,1,9,16,61,1,374,0,8,3,2392
136,cuckoo-w7-vmcloak,8e0e311cd9a5cd9a2bf29a4be214a936,virus_win32_ursnif_f-73-win32_exe-undefined-8e0e311cd9a5cd9a2bf29a4be214a936.exe,doboc,10,137,16,5,7,2,12,6,0,0,1,9,114,56,1,373,0,8,3,2854
290,cuckoo-w7-opened,8e0e311cd9a5cd9a2bf29a4be214a936,virus_win32_ursnif_f-73-win32_exe-undefined-8e0e311cd9a5cd9a2bf29a4be214a936.exe,doboc,10.2,136,16,0,2,2,11,7,0,0,1,9,16,56,1,373,0,8,3,2387
41,cuckoo-w7-01,8e1193435fd401c90e004fcf7f4db2ee,virus_win32_mofksys_b-83-win32_exe-tjprojmain.exe-8e1193435fd401c90e004fcf7f4db2ee.exe,mikey,9,138,24,10,9,5,7,5,0,1,1,15,6,39,1,277,0,8,0,240
